feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZZFeatureMap,EfficientSU2,2,2,0.001,weightedcross_entropy,0.5555555555555556,0.5478559176672384,0.6565656565656566,0.4570590699622958,110.29086065292358
ZZFeatureMap,EfficientSU2,1,2,0.001,absolute_error,0.5555555555555556,0.5478559176672384,0.6565656565656566,0.4570590699622958,91.67757558822632
PauliFeatureMap,EfficientSU2,2,3,0.001,weightedcross_entropy,0.5555555555555556,0.5171221030785196,0.5555555555555556,0.434308162374509,183.8923840522766
ZZFeatureMap,RealAmplitudes,2,3,0.01,weightedcross_entropy,0.5555555555555556,0.5015695849319847,0.505050505050505,0.4214285714285714,61.48506808280945
PauliFeatureMap,EfficientSU2,1,2,0.001,absolute_error,0.5555555555555556,0.4857142857142857,0.4545454545454546,0.40740740740740744,91.39129185676575
ZZFeatureMap,EfficientSU2,2,3,0.01,cross_entropy,0.5555555555555556,0.46940966010733454,0.40404040404040403,0.39212007504690427,182.61300492286682
ZZFeatureMap,RealAmplitudes,1,2,0.01,weightedcross_entropy,0.5462962962962963,0.5618131868131868,0.702020202020202,0.460825267447784,31.392018795013428
ZZFeatureMap,EfficientSU2,2,2,0.001,cross_entropy,0.5462962962962963,0.5618131868131868,0.702020202020202,0.460825267447784,110.0001072883606
ZZFeatureMap,EfficientSU2,1,2,0.001,cross_entropy,0.5462962962962963,0.5,0.5,0.4160873882820258,91.5465989112854
ZZFeatureMap,RealAmplitudes,2,3,0.001,weightedcross_entropy,0.5462962962962963,0.48422159887798033,0.4494949494949495,0.4023715415019763,61.386733293533325
PauliFeatureMap,EfficientSU2,1,2,0.001,cross_entropy,0.5370370370370371,0.4827345657481688,0.4444444444444444,0.39732142857142855,91.85726428031921
ZZFeatureMap,EfficientSU2,2,3,0.001,cross_entropy,0.5370370370370371,0.4666666666666666,0.3939393939393939,0.38271604938271603,183.2217104434967
ZFeatureMap,EfficientSU2,2,2,0.001,squared_error,0.5277777777777778,0.44886363636363635,0.33838383838383834,0.36242620673689085,88.27562737464905
PauliFeatureMap,EfficientSU2,1,3,0.001,absolute_error,0.5277777777777778,0.4318181818181818,0.2878787878787879,0.34545454545454546,155.18801522254944
PauliFeatureMap,RealAmplitudes,1,2,0.01,weightedcross_entropy,0.5185185185185185,0.5262435677530017,0.5858585858585859,0.42269736842105265,31.376383066177368
PauliFeatureMap,RealAmplitudes,1,3,0.01,weightedcross_entropy,0.5092592592592593,0.55625,0.6818181818181818,0.43566992014196987,49.45714974403381
ZZFeatureMap,EfficientSU2,1,2,0.01,absolute_error,0.5092592592592593,0.55625,0.6818181818181818,0.43566992014196987,91.46000456809998
ZZFeatureMap,RealAmplitudes,1,3,0.001,squared_error,0.5092592592592593,0.5403448275862068,0.6313131313131313,0.42662526294700986,49.77513003349304
ZFeatureMap,EfficientSU2,2,2,0.001,weightedcross_entropy,0.5092592592592593,0.44635343618513323,0.3282828282828283,0.35358554488989274,88.85213851928711
PauliFeatureMap,EfficientSU2,1,2,0.001,squared_error,0.5,0.5077186963979416,0.5252525252525253,0.4004934210526316,90.73124241828918
PauliFeatureMap,RealAmplitudes,1,3,0.01,squared_error,0.5,0.4922813036020583,0.47474747474747475,0.38919145370758274,49.53907799720764
ZZFeatureMap,RealAmplitudes,1,3,0.01,squared_error,0.5,0.47678018575851394,0.4242424242424242,0.3769230769230769,49.561352491378784
ZFeatureMap,EfficientSU2,2,2,0.01,cross_entropy,0.5,0.46108612936700105,0.37373737373737376,0.36359668267132256,88.69909620285034
ZZFeatureMap,RealAmplitudes,1,2,0.001,absolute_error,0.49074074074074076,0.5217241379310344,0.5707070707070707,0.4049884804167084,31.200005292892456
PauliFeatureMap,RealAmplitudes,1,2,0.01,absolute_error,0.49074074074074076,0.4752747252747253,0.4191919191919192,0.37176097303014277,31.247467279434204
